Column1,CONCEPT_ID,CONCEPT_CODE,VOCABULARY_ID,doseFormRxCui_str,doseFormName_str,drugName_str
181,792874,1988304,RxNorm,316943,Extended Release Oral Capsule,diltiazem hydrochloride 120 MG [Tiadylt]
182,792875,1988305,RxNorm,316943,Extended Release Oral Capsule,diltiazem Extended Release Oral Capsule [Tiadylt]
183,792876,1988306,RxNorm,316943,Extended Release Oral Capsule,Tiadylt Oral Product
184,792877,1988307,RxNorm,316943,Extended Release Oral Capsule,Tiadylt Pill
185,792878,1988308,RxNorm,316943,Extended Release Oral Capsule,24 HR diltiazem hydrochloride 120 MG Extended Release Oral Capsule [Tiadylt]
186,792879,1988309,RxNorm,,,diltiazem hydrochloride 120 MG Extended Release Oral Capsule [Tiadylt]
187,792880,1988310,RxNorm,316943,Extended Release Oral Capsule,diltiazem hydrochloride 180 MG [Tiadylt]
188,792881,1988311,RxNorm,316943,Extended Release Oral Capsule,24 HR diltiazem hydrochloride 180 MG Extended Release Oral Capsule [Tiadylt]
189,792882,1988312,RxNorm,,,diltiazem hydrochloride 180 MG Extended Release Oral Capsule [Tiadylt]
190,792883,1988315,RxNorm,316943,Extended Release Oral Capsule,diltiazem hydrochloride 240 MG [Tiadylt]
191,792884,1988316,RxNorm,316943,Extended Release Oral Capsule,24 HR diltiazem hydrochloride 240 MG Extended Release Oral Capsule [Tiadylt]
192,792885,1988317,RxNorm,,,diltiazem hydrochloride 240 MG Extended Release Oral Capsule [Tiadylt]
193,792886,1988318,RxNorm,316943,Extended Release Oral Capsule,diltiazem hydrochloride 300 MG [Tiadylt]
194,792887,1988319,RxNorm,316943,Extended Release Oral Capsule,24 HR diltiazem hydrochloride 300 MG Extended Release Oral Capsule [Tiadylt]
195,792888,1988320,RxNorm,,,diltiazem hydrochloride 300 MG Extended Release Oral Capsule [Tiadylt]
196,792889,1988323,RxNorm,316943,Extended Release Oral Capsule,diltiazem hydrochloride 360 MG [Tiadylt]
197,792890,1988324,RxNorm,316943,Extended Release Oral Capsule,24 HR diltiazem hydrochloride 360 MG Extended Release Oral Capsule [Tiadylt]
198,792891,1988325,RxNorm,,,diltiazem hydrochloride 360 MG Extended Release Oral Capsule [Tiadylt]
199,792892,1988329,RxNorm,316943,Extended Release Oral Capsule,diltiazem hydrochloride 420 MG [Tiadylt]
200,792893,1988330,RxNorm,316943,Extended Release Oral Capsule,24 HR diltiazem hydrochloride 420 MG Extended Release Oral Capsule [Tiadylt]
201,792894,1988331,RxNorm,,,diltiazem hydrochloride 420 MG Extended Release Oral Capsule [Tiadylt]
202,793584,1996251,RxNorm,316968,Oral Solution,valsartan 4 MG/ML
203,793585,1996252,RxNorm,316968,Oral Solution,valsartan Oral Liquid Product
204,793586,1996253,RxNorm,316968,Oral Solution,valsartan Oral Solution
205,793587,1996254,RxNorm,316968,Oral Solution,valsartan 4 MG/ML Oral Solution
206,794088,1943341,RxNorm,316969,Oral Suspension,spironolactone 5 MG/ML [Carospir]
207,794089,1943342,RxNorm,316969,Oral Suspension,spironolactone Oral Suspension [Carospir]
208,794090,1943343,RxNorm,316969,Oral Suspension,Carospir Oral Liquid Product
209,794091,1943344,RxNorm,316969,Oral Suspension,Carospir Oral Product
210,794092,1943345,RxNorm,316969,Oral Suspension,spironolactone 5 MG/ML Oral Suspension [Carospir]
211,902518,491234,RxNorm,317541,Oral Tablet,Hydrochlorothiazide 25 MG / Timolol 10 MG Oral Tablet [Timolide]
212,904542,10763,RxNorm,316965|317541,Oral Capsule|Oral Tablet,triamterene
213,904545,198312,RxNorm,316965,Oral Capsule,triamterene 100 MG Oral Capsule
214,904546,198313,RxNorm,316965,Oral Capsule,triamterene 50 MG Oral Capsule
215,904547,198314,RxNorm,316965,Oral Capsule,hydrochlorothiazide 25 MG / triamterene 50 MG Oral Capsule
216,904548,198315,RxNorm,317541,Oral Tablet,Hydrochlorothiazide 50 MG / Triamterene 50 MG Oral Tablet
217,904549,198316,RxNorm,316965,Oral Capsule,hydrochlorothiazide 25 MG / triamterene 37.5 MG Oral Capsule
218,904583,245283,RxNorm,317541,Oral Tablet,Triamterene 50 MG Oral Tablet
219,904584,245284,RxNorm,317541,Oral Tablet,Triamterene 100 MG Oral Tablet
220,904590,316852,RxNorm,316965,Oral Capsule,triamterene 100 MG
